rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0016.jpg,6.4,0.7645,0.7862,0.5714,1.0,9,4,False,True
2,frame_0002.jpg,0.8,0.7578,0.6871,0.7143,1.0,11,5,False,True
3,frame_0029.jpg,11.6,0.7259,0.7089,0.5714,1.0,10,4,False,True
4,frame_0067.jpg,26.8,0.7221,0.53,0.8571,1.0,13,6,False,True
5,frame_0077.jpg,30.8,0.7133,0.8174,0.4286,0.88,12,3,False,True
6,frame_0021.jpg,8.4,0.6992,0.6556,0.5714,1.0,9,4,False,True
7,frame_0079.jpg,31.6,0.6786,0.8658,0.2857,0.8,12,2,False,False
8,frame_0133.jpg,53.2,0.673,0.6031,0.5714,1.0,11,4,False,True
9,frame_0387.jpg,154.8,0.6727,0.6655,1.0,0.2,13,7,False,True
10,frame_0124.jpg,49.6,0.6695,0.6385,0.7143,0.68,15,5,False,True
11,frame_0176.jpg,70.4,0.6686,0.8127,0.7143,0.24,10,5,False,True
12,frame_0001.jpg,0.4,0.6648,0.5867,0.5714,1.0,12,4,False,False
13,frame_0073.jpg,29.2,0.6611,0.5793,0.5714,1.0,11,4,False,False
14,frame_0033.jpg,13.2,0.6573,0.5718,0.5714,1.0,12,4,False,False
15,frame_0328.jpg,131.2,0.6553,0.7643,0.8571,0.08,14,6,False,True
16,frame_0379.jpg,151.6,0.648,0.8514,0.7143,0.04,15,5,False,True
17,frame_0028.jpg,11.2,0.6479,0.6387,0.4286,1.0,8,3,False,False
18,frame_0321.jpg,128.4,0.6368,0.6794,0.8571,0.2,10,6,False,False
19,frame_0385.jpg,154.0,0.6344,0.6746,0.8571,0.2,14,6,False,False
20,frame_0319.jpg,127.6,0.6312,0.7218,0.7143,0.28,12,5,False,False
21,frame_0005.jpg,2.0,0.6306,0.6041,0.4286,1.0,10,3,False,False
22,frame_0368.jpg,147.2,0.6266,0.8087,0.7143,0.04,18,5,False,False
23,frame_0126.jpg,50.4,0.6171,0.5874,0.5714,0.76,8,4,False,False
24,frame_0030.jpg,12.0,0.6162,0.5753,0.4286,1.0,11,3,False,False
25,frame_0291.jpg,116.4,0.6155,0.8092,0.1429,0.84,8,1,False,False
26,frame_0075.jpg,30.0,0.6088,0.5764,0.4286,0.96,8,3,False,False
27,frame_0299.jpg,119.6,0.6013,0.6518,0.5714,0.52,8,4,False,False
28,frame_0074.jpg,29.6,0.5962,0.5353,0.4286,1.0,12,3,False,False
29,frame_0017.jpg,6.8,0.5916,0.5261,0.4286,1.0,9,3,False,False
30,frame_0382.jpg,152.8,0.5898,0.7191,0.7143,0.08,15,5,False,False
31,frame_0071.jpg,28.4,0.5868,0.5165,0.4286,1.0,12,3,False,False
32,frame_0286.jpg,114.4,0.5865,0.5742,0.5714,0.64,11,4,False,False
33,frame_0113.jpg,45.2,0.5864,0.8196,0.4286,0.24,11,3,False,False
34,frame_0378.jpg,151.2,0.5826,0.7047,0.7143,0.08,13,5,False,False
35,frame_0032.jpg,12.8,0.5811,0.4194,0.5714,1.0,14,4,False,False
36,frame_0000.jpg,0.0,0.5797,0.5879,0.2857,1.0,13,2,False,False
37,frame_0398.jpg,159.2,0.5788,0.7188,0.5714,0.24,13,4,False,False
38,frame_0119.jpg,47.6,0.5758,0.5311,0.7143,0.48,11,5,False,False
39,frame_0302.jpg,120.8,0.5748,0.6468,0.5714,0.4,9,4,False,False
40,frame_0170.jpg,68.0,0.5745,0.6142,0.5714,0.48,11,4,False,False
41,frame_0293.jpg,117.2,0.5745,0.5878,0.4286,0.76,11,3,False,False
42,frame_0026.jpg,10.4,0.5706,0.484,0.4286,1.0,9,3,False,False
43,frame_0297.jpg,118.8,0.5653,0.6335,0.4286,0.6,9,3,False,False
44,frame_0011.jpg,4.4,0.5624,0.4676,0.4286,1.0,6,3,False,False
45,frame_0013.jpg,5.2,0.5613,0.4655,0.4286,1.0,5,3,False,False
46,frame_0082.jpg,32.8,0.56,0.5052,0.5714,0.68,11,4,False,False
